Морковь, Китай, 5 тонн, 7050000 рублей
зерно, США, 30 тонн, 12340000 рублей
Сыр, Китай, 5 тонн, 7050000 рублей
Кошачий корм, Австралия, 1 тонна, 1250000 рублей
Петрушка, Австралия, 15 тонн, 500000 рублей
Масло сливочное, Аргентина, 15 тонн, 7050000 рублей
рыба, Германия, 10 тонн, 500000 рублей
Томатная паста, Австрия, 5 тонн, 1250000 рублей
Лимон, США, 30 тонн, 14850000 рублей
Сыр, Венгрия, 10 тонн, 12340000 рублей
Консервированная кукуруза, Германия, 15 тонн, 1250000 рублей
груши, Перу, 20 тонн, 1250000 рублей
Детское питание 7 банок, Аргентина, 2 тонны, 12340000 рублей
Панировочные сухари, Австрия, 15 тонн, 12340000 рублей
Томатная паста, Венгрия, 1 тонна, 500000 рублей
Консервированный горошек, Германия, 5 тонн, 1250000 рублей
рыба, Венгрия, 50 тонн, 500000 рублей
зерно, Австралия, 50 тонн, 1000000 рублей
Суповой набор куриный, Германия, 15 тонн, 7050000 рублей
Масло растительное, Перу, 20 тонн, 7050000 рублей
хлеб, Китай, 1 тонна, 14850000 рублей
Молоко детское, Перу, 30 тонн, 7050000 рублей
Рыбная консерва, Германия, 15 тонн, 1250000 рублей
Горчица, Китай, 50 тонн, 14850000 рублей
хлеб, Венгрия, 1 тонна, 1250000 рублей
рыба, Австралия, 1 тонна, 1250000 рублей
Курица (бедра или окорочка), Венгрия, 30 тонн, 14850000 рублей
Курица (бедра или окорочка), Австралия, 1 тонна, 7050000 рублей
Котлеты (домашний полуфабрикат), Китай, 5 тонн, 7050000 рублей
Лимон, Аргентина, 1 тонна, 500000 рублей
яблоки, США, 30 тонн, 500000 рублей
Масло растительное, Венгрия, 5 тонн, 7050000 рублей
Кефир, США, 2 тонны, 500000 рублей
Баллончик со сливками, Китай, 2 тонны, 7050000 рублей
Суповой набор мясной, Китай, 10 тонн, 1250000 рублей
шоколад, Австралия, 15 тонн, 7050000 рублей
Горчица, Австралия, 50 тонн, 7050000 рублей
Детское питание 7 банок, Австрия, 20 тонн, 12340000 рублей
яблоки, Венгрия, 20 тонн, 1000000 рублей
Кефир, США, 30 тонн, 12340000 рублей
шоколад, Китай, 5 тонн, 14850000 рублей
Томатная паста, США, 2 тонны, 12340000 рублей
масло, Венгрия, 1 тонна, 1250000 рублей
Консервированная кукуруза, Китай, 20 тонн, 12340000 рублей
хлеб, Перу, 2 тонны, 7050000 рублей
Сыр, Аргентина, 20 тонн, 7050000 рублей
Сахар коричневый, Аргентина, 10 тонн, 500000 рублей
Чеснок, Перу, 15 тонн, 14850000 рублей
Малиновое варенье, Австрия, 20 тонн, 14850000 рублей
масло, Китай, 5 тонн, 1250000 рублей
Морковь, Австралия, 15 тонн, 1250000 рублей
Малиновое варенье, Перу, 20 тонн, 12340000 рублей
Томатная паста, Венгрия, 10 тонн, 14850000 рублей
Чеснок, Австралия, 15 тонн, 7050000 рублей
Петрушка, Австралия, 1 тонна, 500000 рублей
Баллончик со сливками, США, 30 тонн, 1000000 рублей
яблоки, Аргентина, 20 тонн, 1250000 рублей
Лимон, Венгрия, 5 тонн, 500000 рублей
Сахар коричневый, Аргентина, 1 тонна, 12340000 рублей
Петрушка, Перу, 20 тонн, 14850000 рублей
Сыр, Китай, 10 тонн, 1000000 рублей
Суповой набор куриный, США, 2 тонны, 7050000 рублей
Баллончик со сливками, Венгрия, 30 тонн, 14850000 рублей
Горчица, Венгрия, 20 тонн, 14850000 рублей
Чеснок, Перу, 5 тонн, 7050000 рублей
Кефир, Перу, 10 тонн, 7050000 рублей
Сахар коричневый, Перу, 10 тонн, 500000 рублей
Петрушка, США, 1 тонна, 14850000 рублей
Кефир, Австрия, 15 тонн, 14850000 рублей
Курица (бедра или окорочка), Германия, 5 тонн, 1250000 рублей
Рыбная консерва, США, 2 тонны, 1250000 рублей
Сгущенка, Китай, 30 тонн, 7050000 рублей
рыба, Аргентина, 50 тонн, 500000 рублей
Детское питание 7 банок, Венгрия, 15 тонн, 1250000 рублей
Лимон, Венгрия, 5 тонн, 12340000 рублей
Малиновое варенье, Австралия, 2 тонны, 500000 рублей
хлеб, Австрия, 50 тонн, 12340000 рублей
Молоко детское, Венгрия, 30 тонн, 14850000 рублей
рыба, Германия, 10 тонн, 7050000 рублей
зерно, Венгрия, 10 тонн, 7050000 рублей
Кефир, Австрия, 2 тонны, 1000000 рублей
Морковь, Аргентина, 20 тонн, 14850000 рублей
Томатная паста, Германия, 1 тонна, 1000000 рублей
Сметана, Аргентина, 50 тонн, 12340000 рублей
Кошачий корм, Аргентина, 1 тонна, 1250000 рублей
Морковь, Австрия, 10 тонн, 7050000 рублей
Кошачий корм, Перу, 5 тонн, 14850000 рублей
Сметана, США, 10 тонн, 1250000 рублей
Кошачий корм, Германия, 5 тонн, 7050000 рублей
Консервированный горошек, Китай, 50 тонн, 1250000 рублей
Кефир, Аргентина, 10 тонн, 1250000 рублей
Чеснок, Германия, 2 тонны, 7050000 рублей
Малиновое варенье, Перу, 2 тонны, 12340000 рублей
Сыр, Австрия, 50 тонн, 1000000 рублей
Томатная паста, Австрия, 5 тонн, 1250000 рублей
Морковь, Аргентина, 20 тонн, 12340000 рублей
Масло сливочное, США, 5 тонн, 1250000 рублей
Кефир, Германия, 15 тонн, 1000000 рублей
Морковь, Австралия, 15 тонн, 7050000 рублей
Лимон, Германия, 2 тонны, 1000000 рублей
Петрушка, Германия, 20 тонн, 12340000 рублей
Творог, Аргентина, 15 тонн, 12340000 рублей
хлеб, Австралия, 50 тонн, 7050000 рублей
Кефир, США, 10 тонн, 500000 рублей
Сыр, США, 15 тонн, 1000000 рублей
Сыр, Аргентина, 2 тонны, 1250000 рублей
Котлеты (домашний полуфабрикат), Венгрия, 15 тонн, 12340000 рублей
хлеб, Аргентина, 1 тонна, 7050000 рублей
Детское питание 7 банок, Австралия, 5 тонн, 14850000 рублей
Чеснок, США, 30 тонн, 12340000 рублей
Курица (бедра или окорочка), Перу, 15 тонн, 500000 рублей
Лимон, США, 2 тонны, 1250000 рублей
Кошачий корм, Германия, 15 тонн, 1250000 рублей
Рыбная консерва, Австралия, 30 тонн, 1250000 рублей
Сахар коричневый, Китай, 20 тонн, 500000 рублей
Сахар коричневый, Австрия, 50 тонн, 1000000 рублей
зерно, Венгрия, 5 тонн, 1250000 рублей
Детское питание 7 банок, Аргентина, 10 тонн, 1000000 рублей
шоколад, Германия, 2 тонны, 1250000 рублей
масло, Германия, 50 тонн, 1250000 рублей
Картофель, Австралия, 15 тонн, 7050000 рублей
яблоки, Венгрия, 20 тонн, 12340000 рублей
Кошачий корм, Австрия, 2 тонны, 500000 рублей
Панировочные сухари, США, 1 тонна, 12340000 рублей
Консервированный горошек, Австралия, 5 тонн, 1000000 рублей
Молоко детское, Германия, 15 тонн, 500000 рублей
Баллончик со сливками, Германия, 30 тонн, 14850000 рублей
Котлеты (домашний полуфабрикат), Перу, 30 тонн, 7050000 рублей
Томатная паста, Китай, 15 тонн, 14850000 рублей
Детское питание 7 банок, Австрия, 1 тонна, 12340000 рублей
Масло сливочное, Китай, 30 тонн, 14850000 рублей
Малиновое варенье, Аргентина, 2 тонны, 500000 рублей
Консервированная кукуруза, Аргентина, 30 тонн, 14850000 рублей
Котлеты (домашний полуфабрикат), США, 10 тонн, 12340000 рублей
Панировочные сухари, Китай, 10 тонн, 1250000 рублей
Панировочные сухари, Аргентина, 15 тонн, 12340000 рублей
Консервированная кукуруза, Германия, 5 тонн, 12340000 рублей
Суповой набор куриный, Венгрия, 30 тонн, 1000000 рублей
Стручковая фасоль, Аргентина, 5 тонн, 14850000 рублей
Суповой набор мясной, Перу, 10 тонн, 12340000 рублей
Панировочные сухари, Перу, 20 тонн, 1250000 рублей
Масло сливочное, Германия, 1 тонна, 7050000 рублей
Стручковая фасоль, Перу, 2 тонны, 1000000 рублей
Детское питание 7 банок, Австралия, 20 тонн, 1000000 рублей
Котлеты (домашний полуфабрикат), Аргентина, 50 тонн, 12340000 рублей
Молоко детское, Австралия, 15 тонн, 1250000 рублей
Лимон, Германия, 5 тонн, 14850000 рублей
Курица (бедра или окорочка), США, 20 тонн, 12340000 рублей
Молоко детское, США, 10 тонн, 12340000 рублей
Стручковая фасоль, Германия, 15 тонн, 1000000 рублей
Рыбная консерва, Венгрия, 5 тонн, 1000000 рублей
Петрушка, США, 10 тонн, 12340000 рублей
Котлеты (домашний полуфабрикат), США, 50 тонн, 1250000 рублей
Петрушка, Венгрия, 15 тонн, 1000000 рублей
Консервированный горошек, Германия, 20 тонн, 14850000 рублей
масло, Австралия, 50 тонн, 7050000 рублей
Лимон, Австрия, 15 тонн, 1250000 рублей
Сыр, Аргентина, 10 тонн, 12340000 рублей
Рыбная консерва, Германия, 20 тонн, 12340000 рублей
масло, Германия, 20 тонн, 1250000 рублей
Сгущенка, Аргентина, 10 тонн, 1250000 рублей
Масло растительное, Венгрия, 50 тонн, 1000000 рублей
хлеб, Германия, 20 тонн, 7050000 рублей
шоколад, Венгрия, 10 тонн, 500000 рублей
Суповой набор куриный, Венгрия, 5 тонн, 1000000 рублей
Морковь, США, 50 тонн, 12340000 рублей
Сыр, Австралия, 5 тонн, 7050000 рублей
Панировочные сухари, Австрия, 30 тонн, 500000 рублей
Малиновое варенье, Германия, 5 тонн, 1250000 рублей
Сметана, Китай, 2 тонны, 1000000 рублей
шоколад, США, 30 тонн, 7050000 рублей
Лимон, Австрия, 30 тонн, 1250000 рублей
Горчица, Аргентина, 20 тонн, 12340000 рублей
яблоки, Венгрия, 5 тонн, 14850000 рублей
Детское питание 7 банок, Австралия, 5 тонн, 1250000 рублей
Кефир, Перу, 20 тонн, 1000000 рублей
груши, США, 5 тонн, 500000 рублей
Молоко детское, Австралия, 20 тонн, 7050000 рублей
Томатная паста, Австралия, 10 тонн, 7050000 рублей
Молоко детское, Австралия, 5 тонн, 7050000 рублей
Суповой набор куриный, Австрия, 15 тонн, 12340000 рублей
Масло сливочное, Китай, 15 тонн, 12340000 рублей
Молоко детское, Аргентина, 5 тонн, 1250000 рублей
Петрушка, Австрия, 5 тонн, 1250000 рублей
Малиновое варенье, Австралия, 30 тонн, 12340000 рублей
Кефир, США, 5 тонн, 1000000 рублей
зерно, Австрия, 15 тонн, 1250000 рублей
Сыр, Австралия, 1 тонна, 12340000 рублей
рыба, Аргентина, 20 тонн, 500000 рублей
Кошачий корм, Аргентина, 2 тонны, 12340000 рублей
Петрушка, Австралия, 5 тонн, 12340000 рублей
Котлеты (домашний полуфабрикат), Австралия, 30 тонн, 500000 рублей
Малиновое варенье, Австрия, 2 тонны, 14850000 рублей
шоколад, Германия, 5 тонн, 500000 рублей
Сахар коричневый, США, 5 тонн, 7050000 рублей
Детское питание 7 банок, Перу, 2 тонны, 500000 рублей
Малиновое варенье, Австралия, 15 тонн, 1000000 рублей
Петрушка, Австрия, 2 тонны, 500000 рублей
Малиновое варенье, Австрия, 2 тонны, 1250000 рублей
Сыр, Аргентина, 1 тонна, 1000000 рублей
яблоки, Китай, 5 тонн, 1000000 рублей
Суповой набор куриный, США, 30 тонн, 1000000 рублей
Консервированный горошек, Венгрия, 15 тонн, 500000 рублей
груши, Венгрия, 50 тонн, 14850000 рублей
Лимон, Австрия, 1 тонна, 1250000 рублей
Малиновое варенье, Китай, 20 тонн, 1250000 рублей
Сыр, Австрия, 10 тонн, 1250000 рублей
Картофель, Австрия, 5 тонн, 1000000 рублей
Масло растительное, Австрия, 2 тонны, 7050000 рублей
Чеснок, Перу, 20 тонн, 12340000 рублей
Панировочные сухари, Австрия, 30 тонн, 1250000 рублей
Молоко детское, Китай, 5 тонн, 1000000 рублей
Сгущенка, Австрия, 15 тонн, 500000 рублей
Консервированный горошек, Перу, 20 тонн, 1000000 рублей
Петрушка, США, 20 тонн, 500000 рублей
Стручковая фасоль, Перу, 1 тонна, 7050000 рублей
Морковь, Венгрия, 15 тонн, 12340000 рублей
Баллончик со сливками, Венгрия, 50 тонн, 12340000 рублей
Суповой набор мясной, Австралия, 20 тонн, 12340000 рублей
Масло сливочное, Китай, 5 тонн, 1250000 рублей
Панировочные сухари, США, 1 тонна, 12340000 рублей
Творог, США, 50 тонн, 1000000 рублей
Петрушка, Аргентина, 5 тонн, 12340000 рублей
Курица (бедра или окорочка), Венгрия, 5 тонн, 14850000 рублей
Горчица, Китай, 1 тонна, 1000000 рублей
Масло сливочное, Перу, 5 тонн, 500000 рублей
Чеснок, Австралия, 10 тонн, 1000000 рублей
масло, Австралия, 20 тонн, 14850000 рублей
Консервированный горошек, Китай, 50 тонн, 500000 рублей
Горчица, Австрия, 15 тонн, 500000 рублей
Суповой набор мясной, Перу, 2 тонны, 500000 рублей
груши, Перу, 20 тонн, 12340000 рублей
Лимон, Аргентина, 1 тонна, 500000 рублей
хлеб, Аргентина, 1 тонна, 12340000 рублей
Молоко детское, Аргентина, 20 тонн, 1000000 рублей
Панировочные сухари, США, 5 тонн, 500000 рублей
Молоко детское, США, 50 тонн, 500000 рублей
Масло растительное, Аргентина, 1 тонна, 12340000 рублей
Масло сливочное, Аргентина, 2 тонны, 1250000 рублей
Петрушка, Перу, 10 тонн, 14850000 рублей
Сметана, США, 15 тонн, 1250000 рублей
Масло сливочное, Германия, 10 тонн, 500000 рублей
Сыр, Австрия, 50 тонн, 1250000 рублей
Суповой набор мясной, Австрия, 20 тонн, 500000 рублей
Кефир, Китай, 15 тонн, 1000000 рублей
хлеб, Австрия, 50 тонн, 12340000 рублей
Суповой набор мясной, Аргентина, 30 тонн, 12340000 рублей
Петрушка, Венгрия, 30 тонн, 1250000 рублей
Панировочные сухари, Аргентина, 1 тонна, 14850000 рублей
зерно, Австрия, 15 тонн, 1000000 рублей
Сыр, Австралия, 15 тонн, 7050000 рублей
Петрушка, Австрия, 20 тонн, 7050000 рублей
Панировочные сухари, Австралия, 50 тонн, 1000000 рублей
Петрушка, США, 5 тонн, 12340000 рублей
Морковь, Перу, 20 тонн, 500000 рублей
хлеб, Аргентина, 1 тонна, 1250000 рублей
Суповой набор мясной, Венгрия, 5 тонн, 1250000 рублей
Панировочные сухари, Австрия, 50 тонн, 7050000 рублей
Панировочные сухари, Австрия, 5 тонн, 12340000 рублей
Петрушка, Германия, 30 тонн, 1000000 рублей
шоколад, Венгрия, 15 тонн, 500000 рублей
Сыр, Аргентина, 10 тонн, 14850000 рублей
рыба, США, 1 тонна, 1000000 рублей
Молоко детское, Германия, 2 тонны, 1000000 рублей
Молоко детское, США, 1 тонна, 14850000 рублей
Курица (бедра или окорочка), Германия, 20 тонн, 500000 рублей
Сметана, Австралия, 1 тонна, 7050000 рублей
Чеснок, Германия, 15 тонн, 14850000 рублей
Стручковая фасоль, Аргентина, 10 тонн, 1250000 рублей
Картофель, США, 1 тонна, 1250000 рублей
Курица (бедра или окорочка), Перу, 30 тонн, 7050000 рублей
яблоки, Аргентина, 5 тонн, 500000 рублей
Чеснок, Перу, 15 тонн, 12340000 рублей
Котлеты (домашний полуфабрикат), Венгрия, 1 тонна, 500000 рублей
Рыбная консерва, США, 10 тонн, 500000 рублей
Кефир, Аргентина, 5 тонн, 7050000 рублей
Котлеты (домашний полуфабрикат), США, 50 тонн, 1250000 рублей
Томатная паста, Венгрия, 20 тонн, 500000 рублей
рыба, Китай, 2 тонны, 14850000 рублей
Сгущенка, Германия, 2 тонны, 7050000 рублей
Кошачий корм, Австралия, 50 тонн, 7050000 рублей
рыба, Аргентина, 1 тонна, 1250000 рублей
Кефир, Китай, 15 тонн, 7050000 рублей
яблоки, Аргентина, 15 тонн, 7050000 рублей
Консервированный горошек, Германия, 2 тонны, 7050000 рублей
Сгущенка, Аргентина, 20 тонн, 1000000 рублей
Консервированный горошек, США, 15 тонн, 1000000 рублей
Творог, Аргентина, 50 тонн, 1000000 рублей
Лимон, Венгрия, 1 тонна, 500000 рублей
Чеснок, Германия, 50 тонн, 500000 рублей
Морковь, Перу, 20 тонн, 1250000 рублей
хлеб, США, 5 тонн, 12340000 рублей
Петрушка, Аргентина, 10 тонн, 7050000 рублей
Петрушка, Китай, 30 тонн, 14850000 рублей
Петрушка, США, 50 тонн, 500000 рублей
Томатная паста, Китай, 10 тонн, 500000 рублей
Сыр, Перу, 50 тонн, 1250000 рублей
груши, Австралия, 20 тонн, 12340000 рублей
Детское питание 7 банок, США, 50 тонн, 12340000 рублей
Детское питание 7 банок, Китай, 50 тонн, 7050000 рублей
рыба, США, 2 тонны, 1000000 рублей
Творог, Перу, 1 тонна, 1250000 рублей
Котлеты (домашний полуфабрикат), Германия, 5 тонн, 14850000 рублей
яблоки, Венгрия, 15 тонн, 14850000 рублей
рыба, Австралия, 1 тонна, 14850000 рублей
масло, Китай, 15 тонн, 14850000 рублей
Сыр, Германия, 5 тонн, 7050000 рублей
Сахар коричневый, Австралия, 50 тонн, 1250000 рублей
Чеснок, Аргентина, 2 тонны, 7050000 рублей
зерно, Австрия, 50 тонн, 14850000 рублей
Консервированный горошек, Австралия, 20 тонн, 1250000 рублей
Консервированная кукуруза, Аргентина, 1 тонна, 12340000 рублей
Лимон, Китай, 50 тонн, 14850000 рублей
Фрикадельки (домашний полуфабрикат), США, 20 тонн, 1250000 рублей
Кефир, Перу, 30 тонн, 1250000 рублей
Стручковая фасоль, Китай, 1 тонна, 12340000 рублей
Малиновое варенье, Перу, 15 тонн, 500000 рублей
Чеснок, Венгрия, 15 тонн, 1000000 рублей
Кефир, США, 50 тонн, 500000 рублей
Сыр, Германия, 15 тонн, 7050000 рублей
масло, Аргентина, 50 тонн, 12340000 рублей
Суповой набор куриный, Австрия, 1 тонна, 14850000 рублей
Суповой набор куриный, Аргентина, 1 тонна, 7050000 рублей
зерно, Венгрия, 1 тонна, 1250000 рублей
Кефир, Австрия, 1 тонна, 500000 рублей
Консервированный горошек, Австралия, 15 тонн, 14850000 рублей
рыба, Австралия, 5 тонн, 7050000 рублей
Рыбная консерва, Австрия, 2 тонны, 1000000 рублей
Картофель, Германия, 50 тонн, 14850000 рублей
рыба, Аргентина, 30 тонн, 7050000 рублей
Творог, Австрия, 2 тонны, 1250000 рублей
Суповой набор мясной, Венгрия, 50 тонн, 500000 рублей
Творог, Китай, 15 тонн, 1000000 рублей
Чеснок, Китай, 30 тонн, 14850000 рублей
Молоко детское, США, 5 тонн, 12340000 рублей
Молоко детское, Аргентина, 10 тонн, 12340000 рублей
Петрушка, Аргентина, 15 тонн, 500000 рублей
Чеснок, Венгрия, 5 тонн, 1250000 рублей
Молоко детское, Австрия, 50 тонн, 500000 рублей
Петрушка, США, 50 тонн, 1000000 рублей
Масло сливочное, Австралия, 10 тонн, 500000 рублей
Суповой набор мясной, Германия, 1 тонна, 14850000 рублей
шоколад, Венгрия, 30 тонн, 12340000 рублей
Консервированная кукуруза, Китай, 10 тонн, 7050000 рублей
Творог, Венгрия, 20 тонн, 1000000 рублей
Баллончик со сливками, Австралия, 5 тонн, 1250000 рублей
Сыр, Аргентина, 30 тонн, 1250000 рублей
Петрушка, Аргентина, 1 тонна, 1000000 рублей
Петрушка, Перу, 30 тонн, 7050000 рублей
масло, Китай, 50 тонн, 1000000 рублей
Фрикадельки (домашний полуфабрикат), США, 2 тонны, 7050000 рублей
груши, Аргентина, 50 тонн, 12340000 рублей
Чеснок, Аргентина, 15 тонн, 12340000 рублей
груши, Перу, 15 тонн, 1000000 рублей
груши, Перу, 2 тонны, 14850000 рублей
Сахар коричневый, Австрия, 20 тонн, 1250000 рублей
Фрикадельки (домашний полуфабрикат), Аргентина, 20 тонн, 1250000 рублей
Морковь, Китай, 2 тонны, 1250000 рублей
Рыбная консерва, США, 1 тонна, 500000 рублей
хлеб, Китай, 10 тонн, 1000000 рублей
Рыбная консерва, Аргентина, 10 тонн, 1000000 рублей
Сыр, Китай, 1 тонна, 7050000 рублей
шоколад, США, 1 тонна, 7050000 рублей
Стручковая фасоль, Перу, 15 тонн, 14850000 рублей
Рыбная консерва, Аргентина, 1 тонна, 1000000 рублей
Курица (бедра или окорочка), Аргентина, 20 тонн, 500000 рублей
Морковь, Перу, 5 тонн, 1250000 рублей
Консервированный горошек, Китай, 15 тонн, 1250000 рублей
Петрушка, Китай, 5 тонн, 500000 рублей
Петрушка, США, 5 тонн, 14850000 рублей
Петрушка, Австрия, 1 тонна, 1000000 рублей
Сыр, Перу, 5 тонн, 12340000 рублей
Консервированный горошек, США, 15 тонн, 1000000 рублей
Молоко детское, Австралия, 1 тонна, 1250000 рублей
яблоки, Китай, 30 тонн, 14850000 рублей
Консервированная кукуруза, США, 2 тонны, 500000 рублей
Сыр, Перу, 30 тонн, 12340000 рублей
Лимон, Венгрия, 50 тонн, 500000 рублей
Масло растительное, Австралия, 2 тонны, 1000000 рублей
рыба, Австралия, 50 тонн, 12340000 рублей
Рыбная консерва, Перу, 50 тонн, 7050000 рублей
Детское питание 7 банок, Китай, 5 тонн, 1000000 рублей
Баллончик со сливками, Германия, 30 тонн, 1000000 рублей
Панировочные сухари, Австралия, 2 тонны, 12340000 рублей
Сахар коричневый, Аргентина, 1 тонна, 14850000 рублей
Консервированный горошек, Венгрия, 15 тонн, 1250000 рублей
Масло растительное, США, 5 тонн, 7050000 рублей
Чеснок, Австралия, 30 тонн, 500000 рублей
Лимон, Австрия, 5 тонн, 1000000 рублей
Сахар коричневый, Австралия, 5 тонн, 14850000 рублей
Детское питание 7 банок, Китай, 5 тонн, 1000000 рублей
Консервированный горошек, Перу, 50 тонн, 1000000 рублей
Сгущенка, Венгрия, 1 тонна, 1250000 рублей
Кошачий корм, Перу, 20 тонн, 1250000 рублей
Масло растительное, США, 30 тонн, 14850000 рублей
Масло растительное, Аргентина, 10 тонн, 12340000 рублей
яблоки, США, 50 тонн, 14850000 рублей
Малиновое варенье, Китай, 2 тонны, 14850000 рублей
Сыр, Китай, 30 тонн, 1250000 рублей
Панировочные сухари, Венгрия, 50 тонн, 1000000 рублей
Детское питание 7 банок, Перу, 15 тонн, 14850000 рублей
Котлеты (домашний полуфабрикат), Китай, 15 тонн, 1250000 рублей
яблоки, Австрия, 1 тонна, 14850000 рублей
Сыр, Германия, 5 тонн, 500000 рублей
Морковь, Германия, 30 тонн, 1250000 рублей
Творог, Германия, 10 тонн, 7050000 рублей
Консервированная кукуруза, Перу, 10 тонн, 14850000 рублей
Сыр, Венгрия, 20 тонн, 1250000 рублей
Томатная паста, США, 1 тонна, 14850000 рублей
Сметана, Австралия, 20 тонн, 12340000 рублей
Творог, Германия, 20 тонн, 7050000 рублей
Горчица, Австралия, 15 тонн, 1250000 рублей
Малиновое варенье, Китай, 10 тонн, 7050000 рублей
Петрушка, Германия, 30 тонн, 1000000 рублей
Чеснок, Китай, 20 тонн, 14850000 рублей
Кошачий корм, Китай, 2 тонны, 1000000 рублей
груши, Австралия, 20 тонн, 7050000 рублей
яблоки, Австрия, 5 тонн, 1250000 рублей
хлеб, Перу, 1 тонна, 1250000 рублей
Молоко детское, Австралия, 50 тонн, 500000 рублей
Фрикадельки (домашний полуфабрикат), Австралия, 1 тонна, 7050000 рублей
Рыбная консерва, Китай, 2 тонны, 14850000 рублей
Молоко детское, Австралия, 20 тонн, 7050000 рублей
Молоко детское, Австрия, 30 тонн, 7050000 рублей
Консервированная кукуруза, Германия, 50 тонн, 1000000 рублей
Панировочные сухари, Аргентина, 1 тонна, 7050000 рублей
Стручковая фасоль, Перу, 1 тонна, 14850000 рублей
Творог, Австралия, 5 тонн, 7050000 рублей
яблоки, США, 5 тонн, 14850000 рублей
Фрикадельки (домашний полуфабрикат), Аргентина, 30 тонн, 12340000 рублей
Кефир, Германия, 15 тонн, 7050000 рублей
хлеб, Перу, 50 тонн, 14850000 рублей
Масло сливочное, Аргентина, 30 тонн, 14850000 рублей
Молоко детское, Венгрия, 50 тонн, 14850000 рублей
Рыбная консерва, Аргентина, 30 тонн, 14850000 рублей
Панировочные сухари, Австрия, 5 тонн, 7050000 рублей
Суповой набор мясной, Китай, 50 тонн, 500000 рублей
Баллончик со сливками, США, 10 тонн, 12340000 рублей
зерно, США, 50 тонн, 14850000 рублей
масло, Германия, 1 тонна, 500000 рублей
Сгущенка, Австрия, 2 тонны, 7050000 рублей
Томатная паста, Китай, 10 тонн, 500000 рублей
Сгущенка, Китай, 15 тонн, 12340000 рублей
Детское питание 7 банок, Германия, 15 тонн, 12340000 рублей
Томатная паста, Австралия, 15 тонн, 7050000 рублей
Стручковая фасоль, США, 10 тонн, 12340000 рублей
Петрушка, Германия, 2 тонны, 7050000 рублей
рыба, Австралия, 15 тонн, 12340000 рублей
шоколад, Китай, 1 тонна, 1000000 рублей
зерно, Китай, 20 тонн, 1250000 рублей
Сгущенка, Китай, 30 тонн, 500000 рублей
Фрикадельки (домашний полуфабрикат), Австрия, 15 тонн, 1000000 рублей
Картофель, США, 50 тонн, 7050000 рублей
Суповой набор мясной, Аргентина, 2 тонны, 7050000 рублей
Баллончик со сливками, Венгрия, 20 тонн, 500000 рублей
Томатная паста, Австрия, 5 тонн, 500000 рублей
хлеб, Венгрия, 30 тонн, 14850000 рублей
Кошачий корм, Германия, 1 тонна, 1000000 рублей
Петрушка, Австралия, 10 тонн, 500000 рублей
Масло сливочное, Аргентина, 5 тонн, 14850000 рублей
Панировочные сухари, Австралия, 15 тонн, 12340000 рублей
Сахар коричневый, Перу, 30 тонн, 14850000 рублей
Стручковая фасоль, Китай, 20 тонн, 14850000 рублей
Консервированный горошек, Австралия, 2 тонны, 500000 рублей
Баллончик со сливками, Перу, 10 тонн, 1000000 рублей
Горчица, Аргентина, 2 тонны, 1000000 рублей
Сгущенка, Перу, 15 тонн, 500000 рублей
Фрикадельки (домашний полуфабрикат), Китай, 1 тонна, 14850000 рублей
Сметана, США, 30 тонн, 7050000 рублей
груши, Венгрия, 1 тонна, 1250000 рублей
Панировочные сухари, Аргентина, 2 тонны, 7050000 рублей
Петрушка, Австралия, 2 тонны, 14850000 рублей
Суповой набор куриный, Австрия, 5 тонн, 12340000 рублей
Консервированная кукуруза, США, 30 тонн, 7050000 рублей
Консервированный горошек, Аргентина, 50 тонн, 12340000 рублей
Баллончик со сливками, США, 1 тонна, 1000000 рублей
Сахар коричневый, Аргентина, 10 тонн, 12340000 рублей
Стручковая фасоль, Аргентина, 2 тонны, 1000000 рублей
Консервированный горошек, Германия, 20 тонн, 500000 рублей
Петрушка, Аргентина, 10 тонн, 14850000 рублей
Лимон, Аргентина, 2 тонны, 14850000 рублей
яблоки, Перу, 1 тонна, 500000 рублей
Малиновое варенье, США, 10 тонн, 500000 рублей
Картофель, США, 1 тонна, 1000000 рублей
шоколад, Австралия, 30 тонн, 500000 рублей
Молоко детское, Австралия, 20 тонн, 1250000 рублей
Консервированный горошек, Аргентина, 30 тонн, 500000 рублей
Котлеты (домашний полуфабрикат), Австралия, 10 тонн, 14850000 рублей
Сгущенка, Аргентина, 10 тонн, 14850000 рублей
Творог, Австрия, 20 тонн, 500000 рублей
Петрушка, Китай, 50 тонн, 7050000 рублей
Молоко детское, Венгрия, 15 тонн, 12340000 рублей
шоколад, Китай, 20 тонн, 500000 рублей
Котлеты (домашний полуфабрикат), Китай, 2 тонны, 12340000 рублей
хлеб, Австралия, 10 тонн, 14850000 рублей
Масло растительное, Аргентина, 30 тонн, 1250000 рублей
Сгущенка, Перу, 15 тонн, 7050000 рублей
Масло растительное, Австралия, 10 тонн, 12340000 рублей
Картофель, США, 30 тонн, 12340000 рублей
Сыр, Перу, 2 тонны, 500000 рублей
Рыбная консерва, Германия, 30 тонн, 500000 рублей
Сахар коричневый, Германия, 1 тонна, 1000000 рублей
Масло сливочное, Австралия, 10 тонн, 500000 рублей
Курица (бедра или окорочка), Китай, 10 тонн, 500000 рублей
Томатная паста, Аргентина, 20 тонн, 7050000 рублей
